intervention_family,disease_family,outcome,leading_effect,net_support,claim_count,weighted_support_by_effect,review_status,review_notes
other,aging,arterial function,increase,-5.7,1,"{""increase"": 5.7}",,
other,aging,cellular senescence,decrease,5.7,1,"{""decrease"": 5.7}",,
other,aging,hepatocellular carcinoma incidence,decrease,5.7,1,"{""decrease"": 5.7}",,
other,aging,lifespan extension,increase,-5.6,1,"{""increase"": 5.6}",,
other,aging,liver senescence and necroptosis,decrease,5.7,1,"{""decrease"": 5.7}",,
other,aging,osteoprogenitor and osteoblast function,decrease,5.5,1,"{""decrease"": 5.5}",,
other,aging,physical function and lifespan,increase,-5.5,1,"{""increase"": 5.5}",,
other,aging,senescence marker reduction,decrease,5.7,1,"{""decrease"": 5.7}",,
other,aging,trabecular bone volume fraction,decrease,5.4,1,"{""decrease"": 5.4}",,
other,metabolic_inflammation,liver disease progression,increase,-4.4,1,"{""increase"": 4.4}",,
other,other,age-dependent intervertebral disc degeneration,decrease,5.7,1,"{""decrease"": 5.7}",,
other,other,coronavirus-related mortality in old mice,decrease,5.6,1,"{""decrease"": 5.6}",,
other,other,flu-specific cd8 t-cell infiltration,decrease,5.5,1,"{""decrease"": 5.5}",,
other,other,metabolism and cognition,conditional,0.0,2,"{""conditional"": 9.0}",,
other,other,overall influenza responses,null,0.0,1,"{""null"": 5.2}",,
