claim_id,source_id,intervention,outcome,effect,tier,score,evidence_weight,summary,review_status,review_issue_type,review_notes
pmid_32556930::C1,pmid_32556930,sodium butyrate,neuroinflammation,increase,headline,39,5.7,"Sodium butyrate exacerbated neuroinflammation in an MPTP Parkinson mouse model, alongside worsening broader Parkinson-related pathology.",,,
pmid_36839287::C1,pmid_36839287,sodium butyrate,motor performance and dopaminergic neuron survival,increase,headline,39,5.7,Sodium butyrate improves motor performance and reduces dopaminergic neuron loss in MPTP-induced Parkinson's disease mice.,,,
pmid_37665564::C1,pmid_37665564,sodium butyrate,neuroinflammation,decrease,headline,39,5.5,Sodium butyrate reduced prefrontal-cortex neuroinflammation in DSS ulcerative-colitis mice while also improving intestinal barrier integrity.,,,
pmid_33785315::C1,pmid_33785315,sodium butyrate,neuroinflammation,decrease,headline,38,4.7,Sodium butyrate reduced neuroinflammation in 5XFAD mice and improved synaptic plasticity.,,,
pmid_36555338::C1,pmid_36555338,sodium butyrate,neuroinflammation,decrease,headline,38,4.6,Sodium butyrate supplementation prevents ethanol-induced increases in pro-inflammatory cytokine expression and normalizes microglial changes in the hippocampus of mice.,,,
pmid_36709599::C1,pmid_36709599,sodium butyrate,neuroinflammation,decrease,headline,38,5.5,Sodium butyrate reduces neuroinflammation in chronic alcohol-exposed mice by suppressing microglial activation and lowering pro-inflammatory cytokines.,,,
pmid_38340407::C1,pmid_38340407,sodium butyrate,neuroinflammation,decrease,headline,38,4.6,Sodium butyrate alleviated lead-induced neuroinflammation and improved cognition in a lead neurotoxicity context.,,,
pmid_30154787::C2,pmid_30154787,butyrate,neuroinflammation,decrease,headline,37,4.5,"Pharmacologic butyrate treatment attenuates expression of IL-1β, TNF, and IL-6 in microglia from aged mice after LPS challenge.",,,
pmid_39962509::C2,pmid_39962509,sodium butyrate,neuroinflammation,decrease,headline,36,4.2,Sodium butyrate reduced M1 microglia-associated neuroinflammation in cardiac arrest mice.,,,
pmid_31835282::C2,pmid_31835282,clostridium butyricum treatment,microglial activation,decrease,mechanistic,28,4.6,Clostridium butyricum treatment suppressed microglial activation in the brain of APP/PS1 Alzheimer's disease mice.,,,
pmid_40961414::C1,pmid_40961414,short-chain fatty acid supplementation,neurologic injury after traumatic brain injury,decrease,supporting,23,4.6,Short-chain fatty acid supplementation after traumatic brain injury attenuates neurologic injury via the gut-brain-microglia axis.,,,
pmid_37318680::C1,pmid_37318680,sodium butyrate,infarct volume,decrease,supporting,22,5.4,Sodium butyrate reduced infarct volume in a diabetic-stroke mouse model.,,,
pmid_41366428::C1,pmid_41366428,diet engineered to increase microbial production of acetate and butyrate,long-term neurologic impairment after traumatic brain injury,decrease,supporting,22,4.5,A diet engineered to increase microbial production of acetate and butyrate attenuates long-term neurologic impairment after traumatic brain injury.,,,
pmid_41786890::C1,pmid_41786890,butyrate,amyloid-beta pathology,decrease,supporting,22,4.5,Butyrate prevents gut-brain amyloid-β pathology and neuroinflammation in an Alzheimer mouse model.,,,
