intervention,outcome,leading_effect,net_support,claim_count,weighted_support_by_effect,review_status,review_notes
butyrate,amyloid-beta pathology,decrease,4.5,1,"{""decrease"": 4.5}",,
butyrate,neuroinflammation,decrease,4.5,1,"{""decrease"": 4.5}",,
butyrate,nf-κb p65 phosphorylation,decrease,2.5,1,"{""decrease"": 2.5}",,
butyrate treatment,amyloid-beta uptake and accumulation,decrease,4.7,1,"{""decrease"": 4.7}",,
clostridium butyricum treatment,cognitive function,increase,-4.5,1,"{""increase"": 4.5}",,
clostridium butyricum treatment,microglial activation,decrease,4.6,1,"{""decrease"": 4.6}",,
diet engineered to increase microbial production of acetate and butyrate,long-term neurologic impairment after traumatic brain injury,decrease,4.5,1,"{""decrease"": 4.5}",,
high-fiber inulin diet,neuroinflammation,decrease,4.5,1,"{""decrease"": 4.5}",,
short-chain fatty acid supplementation,neurologic injury after traumatic brain injury,decrease,4.6,1,"{""decrease"": 4.6}",,
sodium butyrate,cognitive and memory impairment,decrease,4.5,1,"{""decrease"": 4.5}",,
sodium butyrate,cognitive and mood-related outcomes,increase,-5.5,1,"{""increase"": 5.5}",,
sodium butyrate,gut barrier integrity,increase,-5.6,1,"{""increase"": 5.6}",,
sodium butyrate,hippocampal microglial activation,decrease,5.7,1,"{""decrease"": 5.7}",,
sodium butyrate,hypothalamic microgliosis and inflammatory cytokine expression,decrease,5.6,1,"{""decrease"": 5.6}",,
sodium butyrate,infarct volume,decrease,5.4,1,"{""decrease"": 5.4}",,
sodium butyrate,lps-induced depression-like behaviors,decrease,5.6,1,"{""decrease"": 5.6}",,
sodium butyrate,motor performance and dopaminergic neuron survival,increase,-5.7,1,"{""increase"": 5.7}",,
sodium butyrate,neuroinflammation,decrease,28.8,8,"{""decrease"": 34.5, ""increase"": 5.7}",,
sodium butyrate,neurological recovery,increase,-5.5,1,"{""increase"": 5.5}",,
sodium butyrate,neurological scores,increase,-4.2,1,"{""increase"": 4.2}",,
sodium butyrate,nrf2 and hif-1α activation,increase,-5.6,1,"{""increase"": 5.6}",,
sodium butyrate,regulatory t cell amplification,increase,-5.5,1,"{""increase"": 5.5}",,
sodium butyrate,tlr4/myd88/nf-κb pathway activation,decrease,5.7,1,"{""decrease"": 5.7}",,
sodium butyrate,tlr4/myd88/nf-κb pathway activity,decrease,4.5,1,"{""decrease"": 4.5}",,
