claim_id,source_id,intervention,outcome,effect,tier,score,evidence_weight,summary,review_status,review_issue_type,review_notes
pmid_32556930::C1,pmid_32556930,sodium butyrate,neuroinflammation,increase,headline,39,5.7,"Sodium butyrate exacerbated neuroinflammation in an MPTP Parkinson mouse model, alongside worsening broader Parkinson-related pathology.",,,
pmid_36709599::C2,pmid_36709599,sodium butyrate,gut barrier integrity,increase,headline,39,5.6,"Sodium butyrate improves gut barrier integrity in chronic alcohol-exposed mice, as evidenced by increased occludin expression and reduced endotoxemia.",,,
pmid_36839287::C1,pmid_36839287,sodium butyrate,motor performance and dopaminergic neuron survival,increase,headline,39,5.7,Sodium butyrate improves motor performance and reduces dopaminergic neuron loss in MPTP-induced Parkinson's disease mice.,,,
pmid_37665564::C1,pmid_37665564,sodium butyrate,neuroinflammation,decrease,headline,39,5.5,Sodium butyrate reduced prefrontal-cortex neuroinflammation in DSS ulcerative-colitis mice while also improving intestinal barrier integrity.,,,
pmid_33785315::C1,pmid_33785315,sodium butyrate,neuroinflammation,decrease,headline,38,4.7,Sodium butyrate reduced neuroinflammation in 5XFAD mice and improved synaptic plasticity.,,,
pmid_36555338::C1,pmid_36555338,sodium butyrate,neuroinflammation,decrease,headline,38,4.6,Sodium butyrate supplementation prevents ethanol-induced increases in pro-inflammatory cytokine expression and normalizes microglial changes in the hippocampus of mice.,,,
pmid_36709599::C1,pmid_36709599,sodium butyrate,neuroinflammation,decrease,headline,38,5.5,Sodium butyrate reduces neuroinflammation in chronic alcohol-exposed mice by suppressing microglial activation and lowering pro-inflammatory cytokines.,,,
pmid_37665564::C2,pmid_37665564,sodium butyrate,neuroinflammation,decrease,headline,38,5.4,"Sodium butyrate protects the prefrontal cortex from neuroinflammation in ulcerative colitis mice, as indicated by reduced IBA-1 levels.",,,
pmid_38340407::C1,pmid_38340407,sodium butyrate,neuroinflammation,decrease,headline,38,4.6,Sodium butyrate alleviated lead-induced neuroinflammation and improved cognition in a lead neurotoxicity context.,,,
pmid_30154787::C1,pmid_30154787,high-fiber inulin diet,neuroinflammation,decrease,headline,37,4.5,A high-fiber inulin diet reduces age-related neuroinflammation in mice by promoting an anti-inflammatory microglial profile.,,,
pmid_30154787::C2,pmid_30154787,butyrate,neuroinflammation,decrease,headline,37,4.5,"Pharmacologic butyrate treatment attenuates expression of IL-1β, TNF, and IL-6 in microglia from aged mice after LPS challenge.",,,
pmid_39962509::C2,pmid_39962509,sodium butyrate,neuroinflammation,decrease,headline,36,4.2,Sodium butyrate reduced M1 microglia-associated neuroinflammation in cardiac arrest mice.,,,
pmid_29229502::C2,pmid_29229502,sodium butyrate,hippocampal microglial activation,decrease,mechanistic,29,5.7,Sodium butyrate reduced hippocampal cytokines and Iba1-positive microglial activation in LPS-treated mice.,,,
pmid_31835282::C2,pmid_31835282,clostridium butyricum treatment,microglial activation,decrease,mechanistic,28,4.6,Clostridium butyricum treatment suppressed microglial activation in the brain of APP/PS1 Alzheimer's disease mice.,,,
pmid_29229502::C1,pmid_29229502,sodium butyrate,lps-induced depression-like behaviors,decrease,supporting,24,5.6,Repeated sodium butyrate treatment reversed LPS-induced immobility in the forced swim test in mice.,,,
pmid_36839287::C2,pmid_36839287,sodium butyrate,tlr4/myd88/nf-κb pathway activation,decrease,supporting,24,5.7,"Sodium butyrate suppresses the TLR4/MyD88/NF-κB pathway across the gut-brain axis, contributing to neuroprotection in MPTP-induced Parkinson's disease mice.",,,
pmid_36709599::C3,pmid_36709599,sodium butyrate,cognitive and mood-related outcomes,increase,supporting,23,5.5,Sodium butyrate improves cognitive and mood-related outcomes in chronic alcohol-exposed mice.,,,
pmid_37318680::C2,pmid_37318680,sodium butyrate,neurological recovery,increase,supporting,23,5.5,Sodium butyrate improved long-term neurological recovery in diabetic-stroke mice.,,,
pmid_37318680::C3,pmid_37318680,sodium butyrate,regulatory t cell amplification,increase,supporting,23,5.5,"Sodium butyrate amplified regulatory T cells in brain and blood, contributing to anti-inflammatory effects.",,,
pmid_37665564::C3,pmid_37665564,sodium butyrate,nrf2 and hif-1α activation,increase,supporting,23,5.6,"Sodium butyrate activates Nrf2 and HIF-1α pathways, leading to upregulation of antioxidant enzymes such as catalase and superoxide dismutase.",,,
pmid_38340407::C2,pmid_38340407,sodium butyrate,cognitive and memory impairment,decrease,supporting,23,4.5,Oral sodium butyrate improves learning and memory deficits in lead-exposed mice.,,,
