intervention_family,disease_family,outcome,leading_effect,net_support,claim_count,weighted_support_by_effect,review_status,review_notes
direct butyrate,acute_injury,infarct volume,decrease,5.4,1,"{""decrease"": 5.4}",,
direct butyrate,acute_injury,neuroinflammation,decrease,4.2,1,"{""decrease"": 4.2}",,
direct butyrate,acute_injury,neurological recovery,increase,-5.5,1,"{""increase"": 5.5}",,
direct butyrate,acute_injury,neurological scores,increase,-4.2,1,"{""increase"": 4.2}",,
direct butyrate,acute_injury,regulatory t cell amplification,increase,-5.5,1,"{""increase"": 5.5}",,
direct butyrate,acute_injury,tlr4/myd88/nf-κb pathway activity,decrease,4.5,1,"{""decrease"": 4.5}",,
direct butyrate,aging,neuroinflammation,decrease,4.5,1,"{""decrease"": 4.5}",,
direct butyrate,alcohol_related,cognitive and mood-related outcomes,increase,-5.5,1,"{""increase"": 5.5}",,
direct butyrate,alcohol_related,gut barrier integrity,increase,-5.6,1,"{""increase"": 5.6}",,
direct butyrate,alcohol_related,neuroinflammation,decrease,10.1,2,"{""decrease"": 10.1}",,
direct butyrate,alzheimer_related,amyloid-beta pathology,decrease,4.5,1,"{""decrease"": 4.5}",,
direct butyrate,alzheimer_related,amyloid-beta uptake and accumulation,decrease,4.7,1,"{""decrease"": 4.7}",,
direct butyrate,alzheimer_related,neuroinflammation,decrease,4.7,1,"{""decrease"": 4.7}",,
direct butyrate,behavioral_inflammation,hippocampal microglial activation,decrease,5.7,1,"{""decrease"": 5.7}",,
direct butyrate,behavioral_inflammation,lps-induced depression-like behaviors,decrease,5.6,1,"{""decrease"": 5.6}",,
direct butyrate,gut_inflammation,neuroinflammation,decrease,10.9,2,"{""decrease"": 10.9}",,
direct butyrate,gut_inflammation,nrf2 and hif-1α activation,increase,-5.6,1,"{""increase"": 5.6}",,
direct butyrate,metabolic_inflammation,hypothalamic microgliosis and inflammatory cytokine expression,decrease,5.6,1,"{""decrease"": 5.6}",,
direct butyrate,other,nf-κb p65 phosphorylation,decrease,2.5,1,"{""decrease"": 2.5}",,
direct butyrate,parkinsonian,motor performance and dopaminergic neuron survival,increase,-5.7,1,"{""increase"": 5.7}",,
direct butyrate,parkinsonian,neuroinflammation,increase,-5.7,1,"{""increase"": 5.7}",,
direct butyrate,parkinsonian,tlr4/myd88/nf-κb pathway activation,decrease,5.7,1,"{""decrease"": 5.7}",,
direct butyrate,toxic_exposure,cognitive and memory impairment,decrease,4.5,1,"{""decrease"": 4.5}",,
direct butyrate,toxic_exposure,neuroinflammation,decrease,4.6,1,"{""decrease"": 4.6}",,
microbiome-mediated butyrate,acute_injury,long-term neurologic impairment after traumatic brain injury,decrease,4.5,1,"{""decrease"": 4.5}",,
microbiome-mediated butyrate,aging,neuroinflammation,decrease,4.5,1,"{""decrease"": 4.5}",,
microbiome-mediated butyrate,alzheimer_related,cognitive function,increase,-4.5,1,"{""increase"": 4.5}",,
microbiome-mediated butyrate,alzheimer_related,microglial activation,decrease,4.6,1,"{""decrease"": 4.6}",,
other,acute_injury,neurologic injury after traumatic brain injury,decrease,4.6,1,"{""decrease"": 4.6}",,
