claim_id,source_id,intervention,outcome,effect,tier,score,evidence_weight,summary,review_status,review_issue_type,review_notes
pmid_32556930::C1,pmid_32556930,sodium butyrate,neuroinflammation,increase,headline,39,5.8,"Sodium butyrate exacerbates neuroinflammation in MPTP-induced Parkinson's disease mice model, increasing microglial and astrocyte activation and pro-inflammatory markers such as IL-1β, IL-18, iNOS, and nitric oxide.",,,
pmid_33785315::C1,pmid_33785315,sodium butyrate,neuroinflammation,decrease,headline,38,4.6,Sodium butyrate decreased neuroinflammation in 5XFAD mice.,,,
pmid_36555338::C1,pmid_36555338,sodium butyrate,neuroinflammation,decrease,headline,38,4.5,"Sodium butyrate supplementation decreased neuroinflammatory response in mice with ethanol-induced inflammation, even when gut dysbiosis was worsened by antibiotics.",,,
pmid_36709599::C1,pmid_36709599,sodium butyrate,neuroinflammation,decrease,headline,38,4.8,Sodium butyrate decreased neuroinflammation in chronic alcohol-exposed mice.,,,
pmid_37665564::C1,pmid_37665564,sodium butyrate,colitis severity,decrease,headline,38,4.6,Sodium butyrate reduced colitis severity in DSS-induced ulcerative colitis mice.,,,
pmid_39962509::C1,pmid_39962509,sodium butyrate,neuroinflammation,decrease,headline,38,4.7,Sodium butyrate attenuates microglia-mediated neuroinflammation in cardiac arrest mice.,,,
pmid_38340407::C1,pmid_38340407,sodium butyrate,neuroinflammation,decrease,headline,35,4.3,Sodium butyrate alleviates lead-induced neuroinflammation.,,,
C2,pmid_30154787,high-fiber inulin diet,microglial profile,decrease,mechanistic,28,5.5,High-fiber inulin diet promoted an anti-inflammatory microglial profile in aged mice.,,,
pmid_31835282::C1,pmid_31835282,clostridium butyricum,microglial activation,decrease,mechanistic,28,4.6,Clostridium butyricum treatment decreased microglial activation in the brain of APP/PS1 mice.,,,
pmid_29229502::C1,pmid_29229502,sodium butyrate,depression-like behaviors,decrease,supporting,23,4.7,Sodium butyrate decreased LPS-induced depression-like behaviors in mice.,,,
pmid_30154787::C1,pmid_30154787,high-fiber inulin diet,cecal butyrate,increase,supporting,23,5.5,High-fiber inulin diet increased cecal butyrate in aged mice.,,,
pmid_35917736::C1,pmid_35917736,sodium butyrate,hypothalamic microgliosis,decrease,supporting,23,4.7,Sodium butyrate reduced hypothalamic microgliosis in high-fat-diet mice.,,,
pmid_36839287::C1,pmid_36839287,sodium butyrate,motor performance,increase,supporting,23,4.6,Sodium butyrate improved motor performance in MPTP-induced Parkinson's disease mice.,,,
pmid_37318680::C1,pmid_37318680,sodium butyrate,infarct volume,decrease,supporting,23,4.7,Sodium butyrate decreased infarct volume in diabetic stroke mice.,,,
pmid_40961414::C1,pmid_40961414,scfa supplementation,ventriculomegaly,decrease,supporting,23,4.6,SCFA supplementation after TBI reduced ventriculomegaly in mice.,,,
pmid_41366428::C1,pmid_41366428,microbial production of acetate and butyrate,long-term behavioral recovery,increase,supporting,23,4.7,Microbial production of acetate and butyrate improved long-term behavioral recovery after traumatic brain injury.,,,
pmid_41786890::C1,pmid_41786890,butyrate,amyloid-beta secretion,decrease,supporting,23,4.6,Butyrate decreased amyloid-beta secretion in SAMP8 mice.,,,
pmid_41279475::C1,pmid_41279475,butyrate,amyloid-beta 42 uptake,decrease,supporting,22,4.6,Butyrate decreases Aβ42 uptake in endothelial cells under amyloid stress.,,,
C3,pmid_30154787,pharmacologic butyrate treatment,"il-1beta, tnf, il-6 expression",decrease,biomarker,18,5.5,"Pharmacologic butyrate treatment decreased expression of IL-1β, TNF, and IL-6 in microglia from aged mice after LPS challenge.",,,
