intervention,outcome,leading_effect,net_support,claim_count,weighted_support_by_effect,review_status,review_notes
dasatinib plus quercetin,age-dependent intervertebral disc degeneration,decrease,5.7,1,"{""decrease"": 5.7}",,
dasatinib plus quercetin,flu-specific cd8 t-cell infiltration,decrease,5.5,1,"{""decrease"": 5.5}",,
dasatinib plus quercetin,hepatocellular carcinoma incidence,decrease,5.7,1,"{""decrease"": 5.7}",,
dasatinib plus quercetin,liver disease progression,increase,-4.4,1,"{""increase"": 4.4}",,
dasatinib plus quercetin,liver senescence and necroptosis,decrease,5.7,1,"{""decrease"": 5.7}",,
dasatinib plus quercetin,metabolism and cognition,conditional,0.0,1,"{""conditional"": 4.5}",,
dasatinib plus quercetin,overall influenza responses,null,0.0,1,"{""null"": 5.2}",,
dasatinib plus quercetin,physical function and lifespan,increase,-5.5,1,"{""increase"": 5.5}",,
fisetin,arterial function,increase,-5.7,1,"{""increase"": 5.7}",,
fisetin,cellular senescence,decrease,5.7,1,"{""decrease"": 5.7}",,
fisetin,lifespan extension,increase,-5.6,1,"{""increase"": 5.6}",,
fisetin,metabolism and cognition,conditional,0.0,1,"{""conditional"": 4.5}",,
fisetin,senescence marker reduction,decrease,5.7,1,"{""decrease"": 5.7}",,
mixed senolytic treatment,coronavirus-related mortality in old mice,decrease,5.6,1,"{""decrease"": 5.6}",,
navitoclax,osteoprogenitor and osteoblast function,decrease,5.5,1,"{""decrease"": 5.5}",,
navitoclax,trabecular bone volume fraction,decrease,5.4,1,"{""decrease"": 5.4}",,
