intervention_family,disease_family,outcome,leading_effect,net_support,claim_count,weighted_support_by_effect,review_status,review_notes
direct butyrate,acute_injury,infarct volume,decrease,5.4,1,"{""decrease"": 5.4}",,
direct butyrate,acute_injury,neuroinflammation,decrease,4.2,1,"{""decrease"": 4.2}",,
direct butyrate,aging,neuroinflammation,decrease,4.5,1,"{""decrease"": 4.5}",,
direct butyrate,alcohol_related,neuroinflammation,decrease,10.1,2,"{""decrease"": 10.1}",,
direct butyrate,alzheimer_related,amyloid-beta pathology,decrease,4.5,1,"{""decrease"": 4.5}",,
direct butyrate,alzheimer_related,neuroinflammation,decrease,4.7,1,"{""decrease"": 4.7}",,
direct butyrate,gut_inflammation,neuroinflammation,decrease,5.5,1,"{""decrease"": 5.5}",,
direct butyrate,parkinsonian,motor performance and dopaminergic neuron survival,increase,-5.7,1,"{""increase"": 5.7}",,
direct butyrate,parkinsonian,neuroinflammation,increase,-5.7,1,"{""increase"": 5.7}",,
direct butyrate,toxic_exposure,neuroinflammation,decrease,4.6,1,"{""decrease"": 4.6}",,
microbiome-mediated butyrate,acute_injury,long-term neurologic impairment after traumatic brain injury,decrease,4.5,1,"{""decrease"": 4.5}",,
microbiome-mediated butyrate,alzheimer_related,microglial activation,decrease,4.6,1,"{""decrease"": 4.6}",,
other,acute_injury,neurologic injury after traumatic brain injury,decrease,4.6,1,"{""decrease"": 4.6}",,
